,head,qa,rel,ans
12,m.018rv0,what books did beverly cleary right,['book.author.book_editions_published'],m.028x_cs|m.028xt1p|m.028xtdc|m.028xv2w|m.028xwl9|m.028xxhr|m.028xy3z|m.028y2s9|m.028y956|m.028y9dq|m.028yfm2|m.028yj26|m.028yk65|m.028ykn_|m.028ykwy|m.028ylj8|m.028ypwp|m.04tv3cd|m.04tv3cv|m.04tv3d1|m.04tv3d8|m.04tv3dq|m.04tv3fc|m.04tv3fl|m.04tv3ft|m.04tv3g7|m.04tv3gg|m.04tv3gx|m.04tv3hb|m.04tv3hs|m.04tv3j6|m.04tv3jf|m.04tv3k2|m.04tv3kj|m.04tv3kr|m.04tv3l5|m.04tv3lm|m.04tv3m1|m.04tv3mh|m.04tv3mq|m.04tv3n4|m.04tv3nc|m.04tv3nl|m.04tv3nt|m.04tv3p0|m.04tv3pg|m.04tv3px|m.04tv3q3|m.04tv3qb|m.04tv3qk|m.04tv3qs|m.04tv3r6|m.04tv3rn|m.04tv3s2|m.04tv3sj|m.04v_yr2|m.04v_ys3|m.04v_ysc|m.04v_ysv|m.04v_yv1|m.04v_yv9|m.04v_yvk|m.04v_yvt|m.04v_yw1|m.04v_yw9|m.04v_ywk|m.04v_ywz|m.04v_yxd|m.04v_yxp|m.04v_yyd|m.04v_yyn|m.04v_z_9|m.04v_zy_|m.04v_zyh|m.04v_zyr|m.04v0r7_|m.04v0r7h|m.04v0r8f|m.04v0r8p|m.04v0r8y|m.04v0r9c|m.04v0r9m|m.04v0r9w|m.04v0rb4|m.04v0rbn|m.04v5qh1|m.04v5qhs|m.04v5qjt|m.04v5qk1|m.04v5qkj|m.04v5qks|m.04v5ql0|m.04v5ql8|m.04v5qlj|m.04v5qls|m.04v5sh3|m.04v5shd|m.04v5shx|m.04v5sj4|m.04v5sjf|m.04v5sln|m.04v8vbl|m.04v8vc0|m.04v8vcq|m.04v8vdc|m.04v8vdm|m.04v8vdw|m.04v8vf3|m.04v8vfd|m.04v8vfp|m.04v8vfy|m.04v8vk0|m.04v8vkj|m.04v93_5|m.04v93_f|m.04v93_w|m.04v93v3|m.04v93wl|m.04v93x3|m.04v93xc|m.04v93y3|m.04v93ym|m.04v93yw|m.04v93zc|m.04v93zn|m.04v93zx|m.04v9403|m.04v9411|m.04v941l|m.04v9514|m.04vbc_w|m.04vbd10|m.04vbd19|m.04vbd1k|m.04vbd28|m.04vcgm1|m.04vcgn2|m.04vcgnb|m.04vcgnm|m.04vcgp9|m.04vcgpl|m.04vcgpv|m.04vcgq2|m.04vcgr4|m.04vcysm|m.04vcytc|m.04vcytm|m.04vcytw|m.04vcyv3|m.04vcyvc|m.04vcyvs|m.04vcyw0|m.04vdf3h|m.04vdf48|m.04vdf4s|m.04vdf50|m.04vdf58|m.04vdf60|m.04vdf6j|m.04vdf71|m.04vdf7t|m.04vdgjp|m.04vdgjy|m.04vdgkh|m.04vdgks|m.04vdgl0|m.04vdglv|m.04vdhv6|m.04vdhy3|m.04vdhyc|m.04vdhyt|m.04vdhz9|m.04vdm5h|m.04vdm5r|m.04vdm67|m.04vdm78|m.04vdt28|m.04vdt3t|m.04vdt5j|m.04vdt8b|m.04vjg42|m.04vjg4b|m.04vjg4l|m.04vjg4v|m.04vjg52|m.04vjg5n|m.04vjg5y|m.04vjg65|m.04vjg6q|m.04vjg77|m.04vr9_3|m.04vr9_d|m.04vr9_n|m.04vr9_x|m.04vr9fz|m.04vr9g6|m.04vr9gg|m.04vr9gr|m.04vr9k9|m.04vr9l4|m.04vr9lg|m.04vr9lq|m.04vr9mn|m.04vr9mx|m.04vr9n5|m.04vr9nf|m.04vr9ps|m.04vr9q0|m.04vr9qq|m.04vr9rm|m.04vr9rw|m.04vr9sc|m.04vr9sn|m.04vr9sx|m.04vr9t5|m.04vr9tf|m.04vr9tq|m.04vr9tz|m.04vr9v7|m.04vr9vh|m.04vr9w1|m.04vr9wd|m.04vr9wv|m.04vr9y2|m.04vr9yl|m.04vr9yv|m.04vr9z3|m.04vr9zc|m.04vr9zm|m.04vr9zw|m.04w06dr|m.04w06g3|m.04w06gd|m.04w06gn|m.04w06gx|m.04w06h4|m.04w06hd|m.04w06hn|m.04w06j2|m.04w06k2|m.04w06kb|m.04w0f1l|m.04w0f1v|m.04w0f22|m.04w0f2b|m.04w0f2t|m.04w0f3_|m.04w0f38|m.04w0f3q|m.04w0f48|m.04w0f4j|m.04w0f4s|m.04w0f5j|m.04w0f5s|m.04w0f66|m.04w0hqx|m.04w0hr5|m.04w0hs3|m.04w0hsc|m.04w0hsm|m.04w0hsw|m.04w0ht3|m.04w0htc|m.04w0htm|m.04w0htw|m.04w0hv3|m.04w0hvk|m.04w0hwg|m.04w0hwq|m.04w0j88|m.04w0j8t|m.04w0j9_|m.04w0j91|m.04w0j99|m.04w0j9k|m.04w0jbf|m.04w0jbq|m.04w0jbz|m.04w0jcf|m.04w0jcp|m.04w0jd2|m.04w0jdv|m.04w0jtl|m.04w0jv2|m.04w0jvb|m.04w0jvl|m.04w0jvw|m.04w0jw9|m.04w0jws|m.04w0jx1|m.04w0jxc|m.04w0jxt|m.04w0kr0|m.04w0kr9|m.04w0krk|m.04w0ksb|m.04w0ksm|m.04w0kyg|m.04w0ndw|m.04w0nf3|m.04w0ng0|m.04w0ng8|m.04w0ngq|m.04w0ngz|m.04w0nh_|m.04w0nh6|m.04w0nhh|m.04w0nhr|m.04w0njf|m.027_9rs|m.027jhr9|m.0282mb3|m.02dtqf|m.02w8svt|m.03h3h8g|m.04j9kng|m.04t31l_|m.04t31m_|m.04t31m7|m.04t31mr|m.04t31n_|m.04t31n7|m.04t31nr|m.04t31p_|m.04t31ph|m.04t31pr|m.04t31q_|m.04t31q7|m.04t31r_|m.04t31r7|m.04t31rh|m.04t31rr|m.04t31s_|m.04t31s7|m.04t31sh|m.04t31sr|m.04ymrh0|m.0675bfc|m.067jmqc|m.068v3gn|m.069v9cy|m.06cdy8k|m.06g4ynz|m.06j4krb|m.06jd174|m.06jmfjq|m.06k7r8g|m.06lqckd|m.06m9l6p|m.06msr6m|m.06mxxl9|m.06n9g_5|m.06pg_zt|m.06qw9n7|m.06s_1cd|m.06v3b75|m.06w2v38|m.06wytx|m.06xz23|m.07392n|m.076nfp|m.098p74|m.0b__r_m|m.0bkdwj|m.0bkfrx|m.0cqmmy|m.0f2z7p|m.0f2zkt|m.0f3n3s|m.0f3n8m|m.0f3nw6|m.0fgq4n|m.0fjnyr|m.0ftgff|m.0j1035n|m.0j7kzd7
13,m.01bkb,where to fly into bali,['travel.travel_destination.how_to_get_here|travel.transportation.transport_terminus'],m.069hj8
14,m.019pcs,who is the prime minister of ethiopia,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.0dl1t3
15,m.0ny57,what to see near sedona arizona,['travel.travel_destination.tourist_attractions'],m.026h8t6|m.02qswpp|m.02ty7n|m.04crz42|m.04xgf_s|m.07k8z2|m.0dlm2c7|m.0dqzqc|m.0f44c_|m.0g5qfch|m.0gj9fwx
16,m.0157m,what high school did president bill clinton attend,['people.person.education|education.education.institution'],m.0crpbj
17,m.06bnz,what form of government does russia have today,['location.country.form_of_government'],m.01dw03|m.0c9rw5|m.0j729
18,m.07ldhs,what movies does taylor lautner play in,['film.actor.film|film.performance.film'],m.011q0_7k|m.012z_7zt|m.02686wj|m.03nm_fh|m.05pdh86|m.06_wqk4|m.066b_n|m.06crgb|m.06zs80t|m.075wx7_|m.075wx89|m.07cdy_t|m.0bdwfqj|m.0cmdl80|m.0djz0rc|m.0g_w5hs|m.0gx8qcw|m.0mzt5cs|m.0ngj__s
19,m.01jz6d,what year lebron james came to the nba,['sports.sports_award_winner.awards|sports.sports_award.season'],m.07_x8s
20,m.03p77,which wife did king henry behead,['people.person.spouse_s|people.marriage.spouse'],m.09sxn|m.0crdw
21,m.03f2h01,what was malcolm x trying to accomplish,['base.activism.activist.area_of_activism'],m.074v_1j|m.0g4pf68
22,m.059j2,where are the netherlands on a world map,['location.location.containedby'],m.049nq
23,m.015fr,what is the president of brazil,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.026m5c8
24,m.0f8l9c,what are the major cities in france,['location.country.capital'],m.05qtj
25,m.02pn7,what city did esther live in,['people.person.place_of_birth'],m.0gf0n
26,m.0j6tr,what sport do the toronto maple leafs play,['base.events.event_presenting_organisation.event_feed|base.events.event_feed.type_of_event'],m.03tmr|m.03tmr
27,m.0f9q7,what is saint nicholas known for,['book.book_subject.works'],m.066mx9f
28,m.0rlz,what party was andrew jackson,['government.politician.party|government.political_party_tenure.party'],m.020lwv|m.07wf9|m.0d075m
29,m.078ffw,what is the name of the first harry potter novel,['book.literary_series.works_in_this_series'],m.0c_vk
30,m.081k8,what did william shakespeare do for a living,['people.person.profession'],m.025352|m.02hrh1q|m.02hv44_|m.05z96|m.0kyk
31,m.03jn4,what county is heathrow airport in,['location.location.containedby'],m.04pxy3
32,m.08wjf4,what movie is josh hutcherson in,['film.actor.film|film.performance.film'],g.11b7k0v3hq|m.0135_65p|m.026gt8b|m.0270k40|m.02q02ql|m.02qd6h2|m.047qh9b|m.04f8ttb|m.04j0_gm|m.04j1g18|m.04j1phy|m.05spvb|m.07sbq6c|m.07y296|m.09qs_s|m.09tqkv2|m.09v9dsq|m.09w6br|m.0bcs_f|m.0crnh6|m.0ds2_k2|m.0dzz6g|m.0g4tknw|m.0gkp_k|m.0gkz15s|m.0gy8kqb|m.0gy8kv2|m.0hhgh69|m.0n40qmp|m.0ngvsvk|m.0ngvtb_|m.0x1xc_w
33,m.0713r,where do the san francisco giants play home games,['sports.sports_team.arena_stadium'],m.01_gsg
34,m.0b3tf,what year did william jennings bryan run for president,['base.politicalconventions.presidential_nominee.nominated_at'],m.0b4pfj|m.0dv63j|m.0fr77c
35,m.02zg0,what was the name of frederick douglass book,['book.author.works_written'],m.03c5dpz|m.03clq8t|m.04kh2k|m.067mzxk|m.067x2lp|m.068c5tc|m.068jkrg|m.0697p24|m.06bq6w2|m.06c1dmk|m.06fr4s7|m.06jjj7m|m.06kf95n|m.06ktxh7|m.06kvgsm|m.06kxqpj|m.06m91zr|m.06mj8s0|m.06mkpqq|m.06mkz59|m.06mz4m1|m.06p5ykp|m.06r6hzr|m.06ry31_|m.06twn1l|m.06tws33|m.06ty1ql|m.06vbs0d|m.0c1t2v2|m.0fpb93x|m.0fpb946|m.0y50n2g|m.0y50n39|m.0y50n4h|m.0y50n7t|m.0y50ngp|m.0y50njy|m.0y50nxt
36,m.01jw4r,what movies did sally field win an oscar for,['award.award_winner.awards_won|award.award_honor.honored_for'],m.0p_vt|m.0sxjs
37,m.06rkl,what is the first book sherlock holmes appeared in,['book.book_character.appears_in_book'],m.01gq2s
38,m.05zjd,what countries do people speak portuguese,['language.human_language.countries_spoken_in'],m.015fr|m.01nqj|m.02kcz|m.02lx0|m.034m8|m.036b_|m.04thp|m.04wlh|m.05r4w|m.0d05w3|m.0d060g|m.0hg5|m.0hzlz|m.0j4b|m.05r4w
39,m.081nh,what are the names of walt disney kids,['people.person.children'],m.064ndq|m.07kyh5
40,m.01727v,who is in the band bush,['music.musical_group.member|music.group_membership.member'],m.014qv7|m.01vs4sv|m.01vs4t_|m.01vs4vw|m.01wrrdk|m.03d_qbn|m.08f647|m.0h88bb2|m.0j1v9tm|m.0zdb8q6
41,m.07pzc,what was tupac name in juice,['film.actor.film|film.performance.character'],m.0h5rvlw
42,m.0chghy,what timezone is australia gmt,['location.location.time_zones'],m.0y497_m|m.0y497zw|m.0y4980d|m.0y498qn|m.0y498v7|m.0y49954|m.0y49994|m.0y499p1|m.0y49btq|m.0y4dpjf|m.0y4dr4c|m.0y4drym
43,m.03mgx6z,who does maggie grace play in taken,['film.actor.film|film.performance.character'],m.0g_kvk0|m.0g_kvk0|m.0g_kvk0
44,m.04n32,what style of music did louis armstrong play,['music.artist.genre'],m.015y_n|m.03_d0|m.09xw2|m.0dhb2|m.0m40d
45,m.01pr9kj,what tv show did joey lawrence play on,['tv.tv_actor.starring_roles|tv.regular_tv_appearance.series'],m.026_g9w|m.02xwgb|m.036y7h|m.0b6kw6d|m.0g0tw9|m.0lc1qx5
46,m.02cl1,what timezone is denver co,['location.location.time_zones'],m.02hczc
47,m.0n2bh,what character did brian austin green play on 90210,['tv.tv_program.regular_cast|tv.regular_tv_appearance.character'],m.0220tgn
48,m.0c9xl9,where does jackie french live,['people.person.place_of_birth'],m.06y57
49,m.09472,what form of government was practiced in sparta,['location.country.form_of_government'],m.04mlzp|m.04szc|m.06cx9|m.09dcy
50,m.0fjp3,when did the colorado rockies go to the world series,['time.recurring_event.instances'],m.0268bkj
51,m.049_zz,what college did matt lauer attend,['people.person.education|education.education.institution'],m.02fy0z
52,m.04jpl,where to go in london england,['travel.travel_destination.tourist_attractions'],m.012vvtp_|m.0136mc|m.013y0_|m.013yrz|m.017_lw|m.018g60|m.018yyl|m.0198g|m.019k9x|m.01d_0p|m.01hb3|m.01hc38|m.01k804|m.01lpg6|m.01t372|m.01tp60|m.01w0yg|m.01x3nm|m.01x6xn|m.01xrzb|m.01xzg6|m.021mgt|m.022pjp|m.026v7z|m.026ydc|m.0270g5|m.0272nt3|m.02mg5r|m.02mv8x|m.02q6xg0|m.02sfxg|m.02yfnd|m.03825f|m.03gm6z|m.03l0pt|m.03m401|m.0414y7c|m.043mxr|m.045ffb|m.04d1hw7|m.04dn_hk|m.04jgv|m.04mmgh|m.04ttyf|m.04vflw|m.055whd|m.05f3pf0|m.05fl7q|m.05pq2k|m.05q3_3|m.05r48r|m.05s6ns|m.05t7yp|m.05xz1j|m.060yf|m.06w3j7k|m.07gyc|m.07n8hk|m.07nb5|m.07nqn|m.0bll4mn|m.0bnlz5j|m.0bnlz9r|m.0bvqq|m.0d0rj|m.0dplh|m.0fg05k|m.0ggp4|m.0gjv_|m.0gl6x|m.0gsxw|m.0hsb3|m.0j2g8sh|m.0j32g13|m.0j32kvf|m.0j53x|m.0jx0nq8|m.0k2c9hx|m.0m6q6|m.0nb1f|m.0nblr|m.0nc61|m.0ncpy|m.0ncv_|m.0ncy4|m.0p0jt|m.0p1tx|m.0p77g|m.0pdb059|m.0pwzt|m.0w1d3n8|m.0z8h65p
53,m.0g_6k,what school did joan miro attend,['people.person.education|education.education.institution'],m.06w5jjm
54,m.07_m2,who was vincent van gogh inspired by,['influence.influence_node.influenced_by'],m.016s03|m.01xnj|m.0452w|m.056100|m.05t6y5|m.063mx|m.08hrl7|m.0bskv2|m.0fmjym|m.0pwnh
55,m.0jm3v,when did the new york knicks win a championship,['sports.sports_team.championships'],m.0cs1kg|m.0cs1x4
56,m.021zmy,where is jack daniels factory,['distilled_spirits.distillery.region'],m.07h34
57,m.05sb1,what language do the speak in pakistan,['location.country.official_language'],m.02h40lc|m.02hxcvy
58,m.027xx3,where is santa clara university,['location.location.containedby'],m.01n7q|m.09c7w0|m.0r6cx|m.0r6cx|m.01n7q
59,m.07rp8,where did timothy mcveigh go to prison,['base.prison.prisoner.imprisoned|base.prison.imprisonment.prison'],m.051c03
60,m.01y4t,what sea does the yangtze river flow into,['geography.river.mouth'],m.018smn
61,m.0bdxs5,who miley cyrus engaged to,['celebrities.celebrity.sexual_relationships|celebrities.romantic_relationship.celebrity'],m.04yd0fh
62,m.03_r3,what kind of money should i take to jamaica,['location.country.currency_used'],m.04xc2m
63,m.016z2j,who is robert downey jr wife,['people.person.spouse_s|people.marriage.spouse'],m.05p2qsc
64,m.0hmtk,where do the ny rangers play,['sports.sports_team.arena_stadium'],m.0j_66
65,m.043q0,where is jefferson davis buried,['people.deceased_person.place_of_burial'],m.048sj4
66,m.0f1lfn,when will oscar pistorius compete,['sports.pro_athlete.sports_played_professionally|sports.pro_sports_played.sport'],m.0bynt
67,m.02896,what years have the dallas cowboys won the superbowl,['sports.sports_team.championships'],m.076n1|m.076q3|m.076vy|m.076w8|m.076wz
68,m.01bq8d,what awards has louis sachar won,['award.award_winner.awards_won|award.award_honor.award'],m.01cd7p|m.027x4ws|m.03p0vr7|m.09kkqzd
69,m.04ych,who are the current senators from missouri,['government.political_district.representatives|government.government_position_held.office_holder'],m.01_6h2|m.01ftf7|m.01lz7x|m.01nxh8|m.01qpdm|m.026wyq|m.02dn7|m.034c_8|m.034fn4|m.037hdg|m.03fj2d|m.03lzzf|m.03rgjk|m.03v57p|m.040_w4|m.044h4|m.0456m1|m.046c6|m.0479cgd|m.04jm0l|m.04zhz3|m.07cprm|m.07dsyg|m.07snmv|m.07tcrh|m.08z75j|m.093_82|m.09bg4l|m.09svb6|m.09svlz|m.0c_spc|m.0c894n|m.0cvw31|m.0cy__7|m.0cz5hb|m.0cz5sb|m.0cz5yw|m.0cz689|m.0cz6bq|m.0d01f2|m.0d01ls|m.0d03c7|m.0d03f9|m.0d0449|m.0d04bk|m.0gj1dy
70,m.0d3k14,who was the president after jfk died,['government.us_president.vice_president'],m.0f7fy
71,m.02k54,what is the best currency to take to egypt 2013,['location.country.currency_used'],m.04phzg
72,m.07wg3,what planes does the navy have,['aviation.aircraft_owner.aircraft_fleet_composition|aviation.aircraft_ownership_count.aircraft_model'],m.01_78k|m.015mr2|m.0190bf|m.019ybf|m.01d1vk|m.01d1wc|m.01fwhv|m.01fz62|m.01gktp|m.01h0j_|m.01q56x|m.01qt7l|m.01th1l|m.01th28|m.01th5y|m.02_31|m.0215vw|m.0218q9|m.021dzj|m.025t0cp|m.026_wns|m.026b4k6|m.027d6qr|m.027h4z2|m.0284nrp|m.0284qjd|m.028qtn|m.029xc9|m.02b_90|m.02b_9h|m.02b_c4|m.02bvmx|m.02c7x1|m.02f6_0|m.02f6k6|m.02f6xj|m.02f728|m.02gm3t|m.02gmxc|m.02gnvc|m.02gsw8|m.02hf73|m.02hgdf|m.02j2m1|m.02jhvq|m.02jphj|m.02jyqf|m.02jzg6|m.02k3by|m.02kt__|m.02kvgs|m.02kvl7|m.02kwf2|m.02l7dc|m.02lgh0|m.02lwks|m.02mbkm|m.02mq0r|m.02nsdk|m.02nxnq|m.02p3dr|m.02p9d7|m.02q3bq2|m.02q3f6k|m.02q64hp|m.02qf2g|m.02qh5r3|m.02rjf7|m.02rksz|m.02rpfq8|m.02srhl|m.02swn1|m.02v_0by|m.02v_dwm|m.02v_hr2|m.02v_jmz|m.02v_js2|m.02v_jyy|m.02v98n|m.02v9d_|m.02vkx4q|m.02vz86r|m.02w96kv|m.02wk3n|m.02wm9b|m.02x59mj|m.02ys63|m.032hh7|m.0337v|m.0338t|m.033j1|m.033jk|m.033yz|m.0368p9|m.036hlm|m.03byfdv|m.03byfqv|m.03ggkw|m.03h12lx|m.03h17zs|m.03h4kwk|m.03hfxjq|m.03hl3yp|m.03hl7_s|m.03hl89q|m.03hljgk|m.03mdh_g|m.03rr_r|m.03sdzs|m.03wc70c|m.03wh52c|m.03wj9j|m.03xx1b|m.03ydkd_|m.0400lj|m.04042s3|m.040k78|m.0416m9k|m.041fc9|m.043t0c|m.0462dy3|m.047mskq|m.0496sl|m.04k9_k|m.04mx2q|m.04t_14|m.05jl5v|m.05qjvt|m.05qvnz|m.06_yb_|m.060cbm|m.06982q|m.06d2bb|m.06d2jp|m.06d2rt|m.06dts5|m.06dv1y|m.06gwz4|m.06kv38|m.06l82j|m.06l8r_|m.06sc8j|m.06swnt|m.07_nbx|m.072kpc|m.0733xl|m.076b62|m.076bjz|m.07995|m.0799l|m.07ct4k|m.07g6fn|m.07jtsf|m.07wqf1|m.082h36|m.082l8d|m.086lk9|m.089kxl|m.08n134|m.08nh10|m.08nlr9|m.08rh6b|m.09_9gc|m.090mrd|m.090s1s|m.091337|m.091b6h|m.09kzcn|m.0bjdk8|m.0brlxt|m.0bs_hh|m.0cghn|m.0ctnbm|m.0dvdbt|m.0fjqh|m.0fzq8m|m.0gpdy6|m.0swl8s6
73,m.019fz,where did benjamin franklin died,['people.deceased_person.place_of_death'],m.0dclg
74,m.03spz,what is the local language of israel,['location.country.languages_spoken'],m.02h40lc|m.03hkp|m.04gd7|m.04p7x|m.0880p|m.0jzc
75,m.0k9wp,what city and state was the air force academy established,['organization.organization.headquarters|location.mailing_address.citytown'],m.01vsl
76,m.06bnz,what religion are people in russia,['location.statistical_region.religions|location.religion_percentage.religion'],m.0b06q|m.0flw86
77,m.06t3nj,what did shawnee smith play in,['film.actor.film|film.performance.film'],m.025sc21|m.02pcq92|m.02pscpb|m.02vgy2|m.02x6dqb|m.03cjx8n|m.03v6q4|m.03ylv0s|m.0435vm|m.04j2rlx|m.04ljylq|m.04ycv_f|m.05jwph|m.05n543z|m.05qbdb8|m.06_v8dw|m.08tl9t|m.08zjv6|m.09fc83|m.09rfh9|m.0cfw7m_|m.0crrh0v|m.0crrmht|m.0dz6hl|m.0fpklgd|m.0fq7dv_|m.0fsclx|m.0g4ftm9|m.0gm0_nm|m.0gw_7xk|m.0m0plj9
78,m.0cw10,what countries did queen victoria reign over,['government.politician.government_positions_held|government.government_position_held.jurisdiction_of_office'],m.07ssc
79,m.02g3w,where did dr seuss go to school,['people.person.education|education.education.institution'],m.02bqy|m.07tgn|m.0ym1n
80,m.026f4lr,what team does luis suarez play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.0329r5|m.0hvgt
81,m.06mkj,what are dollars called in spain,['location.country.currency_used'],m.02l6h
82,m.035szd,who plays meg in family guy,['tv.tv_character.appeared_in_tv_program|tv.regular_tv_appearance.actor'],m.023v4_
83,m.019vgs,what high school did tim allen go to,['people.person.education|education.education.institution'],m.0bfwjq
84,m.01wykn,where does asiana airlines fly to,['aviation.airline.airports_served|aviation.airline_airport_presence.airport'],m.01nfl1|m.0p1l2
85,m.0f4vbz,what movie did angelina jolie direct,['film.director.film'],m.011q46b6|m.0gttw8n|m.0ngxp8g|m.0wjk75w
86,m.051cc,where did martin luther king got shot,['people.deceased_person.place_of_death'],m.0c_m3
87,m.0fn2g,where to visit near bangkok,['travel.travel_destination.tourist_attractions'],m.01c1gj|m.01d1vz|m.02816l2|m.02jh89|m.02pksll|m.02vnrfw|m.02wwf3f|m.03300t|m.03hlbr1|m.03hp67d|m.03nr91r|m.03t0m6|m.047sllp|m.04q452|m.05s69t|m.06nynb|m.07_w5j|m.07cz23|m.07dj1f|m.07qb9k|m.080c8kl|m.09dnj5|m.09qjqb|m.09rxcz|m.0fp635|m.0h6w70|m.0vb3kfz
88,m.027rn,who is the current president of the dominican republic in 2010,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.02_vvc
89,m.046zh,who has been married to julia roberts,['people.person.spouse_s|people.marriage.spouse'],m.028hc2|m.07207k8
90,m.01ct6,where do baltimore ravens play,['sports.sports_team.arena_stadium'],m.01yq7r
91,m.02863hf,who does brandon dubinsky play for,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.0jnm2
92,m.0dl567,who all has dated taylor swift,['celebrities.celebrity.sexual_relationships|celebrities.romantic_relationship.celebrity'],m.04cr6qv|m.0h3cm8d
93,m.03spz,what is the dominant language in israel,['location.country.official_language'],m.03hkp|m.0jzc
94,m.05cgv,what are the main languages of nigeria,['location.country.official_language'],m.02h40lc
95,m.019fz,what jobs did ben franklin do,['people.person.profession'],m.016fc2|m.01l5t6|m.02kv97_|m.03sbb|m.05r6c|m.05svgpc|m.06q2q|m.080ntlp|m.09jwl|m.0cbd2|m.0fj9f|m.0kyk
96,m.0c8wxp,what bible does the catholic church follow,['religion.religion.texts'],m.015j7|m.01dfl|m.05crg|m.05ld9
97,m.0534r8,who plays lola bunny in the looney tunes show,['film.film_character.portrayed_in_films|film.performance.actor'],m.0fm5ld|m.0fm5ld
98,m.02_t2t,who did rufus wainwright married,['people.person.spouse_s|people.marriage.spouse'],m.0l5x52y
99,m.01wd02c,where did c.s. lewis go to college,['people.person.education|education.education.institution'],m.07tgn|m.0ymf1
100,m.036547,what did nick clegg study at university,['people.person.education|education.education.major_field_of_study'],m.05r79|m.074n0
101,m.0_6t_z8,who is the president of the european union 2011,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.036y38
102,m.0219mf,what school did cassie bernall go to,['people.person.education|education.education.institution'],m.021djq
103,m.06w054,what movie did james frey write,['film.writer.film'],m.05nm_9c|m.08vh65
104,m.043n6dp,what did rob kardashian get surgery for,['medicine.notable_person_with_medical_condition.condition'],m.0jbx2
105,m.0565x,what did st. matthew do,['book.author.works_written'],m.038v8|m.0b77943
106,m.0ct18,what is henry clay known for,['people.person.profession'],m.016fc2|m.04gc2|m.0fj9f
107,m.01vv6xv,who did axl rose marry,['people.person.spouse_s|people.marriage.spouse'],m.05dqs6
108,m.06mkj,what is the money of spain called,['location.country.currency_used'],m.02l6h
109,m.05v8c,who was elected president of the philippines,['government.governmental_jurisdiction.governing_officials|government.government_position_held.office_holder'],m.011_7j|m.0126_k|m.015865|m.01b1g9|m.01pmpq|m.01pmsf|m.01pmvy|m.02193z|m.022llj|m.02bmxs|m.02j7d8|m.02kmg9|m.02qkny|m.037ylm|m.03pnzp
110,m.01m_zd,what cities does ryanair fly to,['aviation.airline.airports_served|aviation.airline_airport_presence.cities_served'],m.015g7|m.01f62|m.01jp4s|m.029v4j|m.02cft|m.02hgz|m.04jpl|m.05l64|m.06mxs|m.09tlh|m.0clz7|m.0lvv8|m.0zc6
111,m.05mph,what time zone is oklahoma state,['location.location.time_zones'],m.02fqwt
112,m.060nc,who was the apostle paul considered to be,['fictional_universe.person_in_fiction.representations_in_fiction'],m.042gzwd
113,m.0d060g,what currency does ontario canada use,['location.country.currency_used'],m.0ptk_
114,m.06w2sn5,what instrument does justin bieber,['music.artist.track_contributions|music.track_contribution.role'],m.0290ngj
115,m.012xdf,what team did shaq play for first,['sports.pro_athlete.teams|sports.sports_team_roster.team'],m.026dqjm
116,m.0d3k14,where was kennedy when he got shot,['people.deceased_person.place_of_death'],m.0f2rq
117,m.04lvwk,who do derek fisher play for,['base.schemastaging.athlete_extra.salary|base.schemastaging.athlete_salary.team'],m.0jmk7
118,m.04gtx2_,where did the casey anthony case take place,['time.event.locations'],m.0ply0
119,m.0157m,where did pres clinton go to college,['people.person.education|education.education.institution'],m.02bq1j|m.02ckl3|m.07tgn|m.08815|m.0pspl|m.0ymf1
120,m.04nmxtk,where did the houston oilers football team go,['sports.defunct_sports_team.later_known_as'],m.06f2k5d
121,m.06z8cv,where did pauley perrette go to college,['people.person.education|education.education.institution'],m.032371
122,m.02c81m,where does niles crane live,['fictional_universe.fictional_character.places_lived'],m.0d9jr
123,m.0jn7y,where was gabriel faure born,['people.person.place_of_birth'],m.063bzq
